provincia,cantón,cargo,gana,partido_num,partido
Cañar,Déleg,Alcaldía,Geovanni Chuya Jara,35,Alianza PAIS
Cañar,El Tambo,Alcaldía,Alex Arce,20-17-35,Democracia Si - Partido Socialista Ecuatoriano - Alianza PAIS
Cañar,La Troncal,Alcaldía,Rómulo Alcívar,21,Movimiento CREO
Cañar,Suscal,Alcaldía,Manuel Pomaquiza,18,Pachakutik
Carchi,Carchi,Prefectura,Guillermo Herrera,12,Izquierda Democrática
Carchi,Tulcán,Alcaldía,Cristian Benavides,104,Somos
Carchi,Bolívar,Alcaldía,Livardo Benalcázar,63-6,Movimiento Social Conservador del Carchi - Partido Social Cristiano
Carchi,Espejo (El Ángel),Alcaldía,Arnaldo Cuaces,21,Movimiento CREO
Carchi,Mira,Alcaldía,Johnny Garrido,12,Izquierda Democrática
Carchi,Montúfar (San Gabriel),Alcaldía,Andrés Ponce,12,Izquierda Democrática
Carchi,San Pedro de Huaca,Alcaldía,Armando Pailacho,66,Lidera
Chimborazo,Chimborazo,Prefectura,Juan Pablo Cruz,62,Cambio
Chimborazo,Riobamba,Alcaldía,Napoleón Cadena,4-6-61-66,Ecuatoriano Unido - Partido Social Cristiano - Renovación - Amauta Yuyay
Chimborazo,Alausí,Alcaldía,Rodrigo Rea,21-3-69,Movimiento CREO - Partido Sociedad Patriotica - Merecemos Mas
Chimborazo,Chambo,Alcaldía,Marco Antonio Guaraca,33,Juntos Podemos
Chimborazo,Chunchi,Alcaldía,Walter Narváez,100,MINGA
Chimborazo,Colta (Cajabamba),Alcaldía,Simón Bolívar Gualán,100,MINGA
Chimborazo,Cumandá,Alcaldía,Eliana Medina,19,Unión Ecuatoriana
Chimborazo,Guamote,Alcaldía,Delfín Quishpe,18,Pachakutik
Chimborazo,Guano,Alcaldía,Raúl Cabrera,21-3-69,Movimiento CREO - Partido Sociedad Patriotica - Merecemos Mas
Chimborazo,Pallatanga,Alcaldía,Enrique Granizo,20,Democracia Si
Chimborazo,Penipe,Alcaldía,Lourdes Mancero,62,Cambio
Cotopaxi,Cotopaxi,Prefectura,Jorge Guamán,2-18,Unidad Popular - Pachakutik
Cotopaxi,Latacunga,Alcaldía,Byron Cardenas,18-20,Pachakutik - Democracia Si
Cotopaxi,La Maná,Alcaldía,Hipotilo Carrera Benites,21-19-33,Movimiento CREO - Union Ecuatoriana - Juntos Podemos
Cotopaxi,Pangua (El Corazón),Alcaldía,Saul Mejía,2-18,Unidad Popular - Pachakutik
Cotopaxi,Pujilí,Alcaldía,Luis Ughsa,23,Movimiento SUMA
Cotopaxi,Salcedo,Alcaldía,Willian Naranjo,104,Visión Salcedense
Cotopaxi,Saquisilí,Alcaldía,Javier Velasquez,23,Movimiento SUMA
Cotopaxi,Sigchos,Alcaldía,Hugo Arguello,23,Movimiento SUMA
El Oro,El Oro,Prefectura,Clemente Bravo,1-20-35-100,Centro Democrático - Democracia Si - Alianza PAIS - SUR
El Oro,Machala,Alcaldía,Dario Macas,2-8,Unidad Popular - Avanza
El Oro,Arenillas,Alcaldía,Edwin Rengel Jaramillo,21,Movimiento CREO
El Oro,Atahualpa (Paccha),Alcaldía,Bismark Ruilova Reyes,70-101,MAR - Renace Atahualpa
El Oro,Balsas,Alcaldía,Yuber Añazco,88,Somos Igualdad Impulso e Integración
El Oro,Chilla,Alcaldía,Richard Cartuche Malla,17-70,Partido Socialista Ecuatoriano - MAR
El Oro,El Guabo,Alcaldía,Hitler Alvarez Bejarano,70,MAR
El Oro,Huaquillas,Alcaldía,Alberto Astudillo Castro,111,"Ahora, Honra, Orden, Respeto y Amor"
El Oro,Las Lajas (La Victoria),Alcaldía,Enrique González,88-21,Somos Igualdad Impulso e Integración - Movimiento CREO
El Oro,Marcabelí,Alcaldía,Efren Pangay,1,Centro Democrático
El Oro,Pasaje,Alcaldía,Cesar Encalada Erraez,88-21,Somos Igualdad Impulso e Integración - Movimiento CREO
El Oro,Piñas,Alcaldía,Jaime Granda Romero,104,Progreso para Piñas
El Oro,Portovelo,Alcaldía,Paulina Lopez,88,Somos Igualdad Impulso e Integración
El Oro,Santa Rosa,Alcaldía,Larry Vite Cevallos,88,Somos Igualdad Impulso e Integración
El Oro,Zaruma,Alcaldía,Jhansy Lopez Jumbo,8,Avanza
Esmeraldas,Esmeraldas,Prefectura,Roberta Zambrano,6,Partido Social Cristiano
Esmeraldas,Esmeraldas,Alcaldía,Lucía Sosa,2,Unidad Popular
Esmeraldas,Atacames,Alcaldía,Fredy Saldarriaga Corral,2-17,Unidad Popular - Partido Socialista Ecuatoriano
Esmeraldas,Eloy Alfaro (Valdéz - Limones),Alcaldía,David Rosero Castillo,20,Democracia Si
Esmeraldas,Muisne,Alcaldía,Tairon Quintero,6-12,Partido Social Cristiano - Izquierda Democratica
Esmeraldas,Quinindé (Rosa Zárate),Alcaldía,Carlos Barcia Molina,6,Partido Social Cristiano
Esmeraldas,Río Verde,Alcaldía,Joffre Quintero Bolaños,6,Partido Social Cristiano
Esmeraldas,San Lorenzo,Alcaldía,Gleen Arroyo,20,Democracia Si
Galápagos,San Cristóbal (Puerto Baquerizo Moreno),Alcaldía,Henry Cobos,21,Movimiento CREO
Galápagos,Isabela (Puerto Villamil),Alcaldía,Bolívar Tupiza Gil,35,Alianza PAIS
Galápagos,Santa Cruz (Puerto Ayora),Alcaldía,Ángel Yánez Vinueza,103,Movimiento X mi Santa Cruz
Guayas,Guayas,Prefectura,Carlos Luis Morales,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Guayaquil,Alcaldía,Cynthia Viteri,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Alfedo Baquerizo Moreno (Jujan),Alcaldía,Angela Herrera Mendez,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Balao,Alcaldía,Jonnatan Molina,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Balzar,Alcaldía,Octavio Zambrano Alcívar,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Colimes,Alcaldía,Norma Ordoñez Murillo,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Coronel Marcelino Maridueña,Alcaldía,Pedro Orellana,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Daule,Alcaldía,Wilson Cañizares,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Durán (Eloy Alfaro),Alcaldía,Dalton Narváez,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,El Empalme (Velasco Ibarra),Alcaldía,Rodolfo Cantos,21-115,Movimiento CREO - RENACE
Guayas,El Triunfo,Alcaldía,José Martillo Pino,35,Alianza PAIS
Guayas,General Antonio Elizalde (Bucay),Alcaldía,Gregorio Rodríguez,20,Democracia Si
Guayas,Isidro Ayora,Alcaldía,Ignacio Cercado Choez,1-4-20,Centro Democrático - Ecuatoriano Unido - Democracia Si
Guayas,Lomas de Sargentillo,Alcaldía,Elvis Espinoza Espinoza,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Milagro,Alcaldía,Francisco Asán,6-75-105,Partido Social Cristiano - Madera de Guerrero - Milagreños Renacen
Guayas,Naranjal,Alcaldía,Luigi Rivera Gutiérrez,33,Juntos Podemos
Guayas,Naranjito,Alcaldía,Máximo Betancourth,4,Ecuatoriano Unido
Guayas,Nobol (Narcisa de Jesús),Alcaldía,Marvin Salas Cercado,1-20-35,Centro Democrático - Democracia Si - Alianza PAIS
Guayas,Palestina,Alcaldía,Luis Castro Guadamud,21-23,Movimiento CREO - Movimiento SUMA
Guayas,Pedro Carbo,Alcaldía,Xavier Gomez Martillo,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Playas (General Villamil),Alcaldía,Dany Mite,21,Movimiento CREO
Guayas,Salitre,Alcaldía,Milton Moreno Pérez,3,Partido Sociedad Patriótica
Guayas,Samborondón,Alcaldía,Juan José Yúnez,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Santa Lucía,Alcaldía,Edson Alvarado Roca,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Simón Bolívar,Alcaldía,Jorge Vera Zavala,6-75,Partido Social Cristiano - Madera de Guerrero
Guayas,Yaguachi,Alcaldía,Kleber Falcón Ortega,6-75,Partido Social Cristiano - Madera de Guerrero
Imbabura,Imbabura,Prefectura,Pablo Jurado,8-61-12-20-1-6-33,Avanza - Fuerza Ciudadana - Izquierda Democrática - Democracia SiCentro Democrático - Partido Social Cristiano - Juntos Podemos
Imbabura,Ibarra,Alcaldía,Andrea Scacco,100,Únete
Imbabura,Antonio Ante (Atuntaqui),Alcaldía,Rolando López,11,Justicia Social
Imbabura,Cotacachi,Alcaldía,Auki Tituaña,51,Concertación
Imbabura,Otavalo,Alcaldía,Mario Conejo,100,Únete
Imbabura,Pimampiro,Alcaldía,Armando Chavez,8,Avanza
Imbabura,San Miguel de Urcuquí,Alcaldía,Tyrone Vega,8-101,Avanza - Integración Popular
Loja,Loja,Prefectura,Rafael Dávila Egüez,21-62-7-10-19-33,Movimiento CREO - Convocatoria - Adelante Ecuatoriano AdelantePartido FE - Union Ecuatoriana - Juntos Podemos
Loja,Loja,Alcaldía,Jorge Bailón,1-11-17,Centro Democrático - Justicia Social - Partido Socialista Ecuatoriano
Loja,Calvas (Cariamanga),Alcaldía,Alex Padilla,35,Alianza PAIS
Loja,Catamayo,Alcaldía,Armando Figueroa,21-106,Movimiento CREO - Fuerza Catamayo
Loja,Celica,Alcaldía,Oswaldo Roman,65,"Pueblo, Cambio y Desarrollo"
Loja,Chaguarpamba,Alcaldía,Darwin Diaz Campoverde,21-62-7-10-19-33,Movimiento CREO - Convocatoria - Adelante Ecuatoriano AdelantePartido FE - Union Ecuatoriana - Juntos Podemos
Loja,Espindola (Amaluza),Alcaldía,Sonia Jimenez,104,Espindola Unida
Loja,Gonzanamá,Alcaldía,Norman Espinoza,35,Alianza PAIS
Loja,Macará,Alcaldía,Alfredo Suquilanda Valdivieso,21-62-7-10-19-33,Movimiento CREO - Convocatoria - Adelante Ecuatoriano AdelantePartido FE - Union Ecuatoriana - Juntos Podemos
